id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
99,23,00,30,6,00,7,00,3,4,2,2,2,3,2,1,1,3,3,1,3,2
66,12,30,10,7,50,7,20,2,2,2,2,3,3,2,3,2,1,2,2,2,2
94,11,30,90,8,00,8,30,4,2,2,2,2,3,3,3,2,3,2,1,2,2
11,22,20,5,8,30,9,00,1,3,3,2,2,1,1,1,1,1,2,1,2,2
61,22,30,25,7,05,8,15,1,2,1,1,1,1,1,1,1,1,2,1,2,2
95,23,30,30,8,30,9,10,1,1,1,1,1,1,1,1,1,1,2,1,2,3
23,23,15,20,6,0,6,0,2,3,1,1,1,3,2,1,1,1,2,1,3,2
93,21,8,30,7,50,11,0,1,2,2,1,3,1,1,2,1,1,2,1,1,2
65,23,00,20,7,30,7,30,2,1,2,1,1,1,1,1,1,1,2,1,1,1
67,22,00,40,6,00,7,10,3,3,3,1,3,2,3,4,1,1,2,3,2,3
79,22,30,10,6,00,7,00,1,2,2,4,4,1,1,1,2,2,2,1,1,1
14,22,00,120,6,00,5,0,4,3,3,2,4,1,1,2,3,2,4,1,4,2
63,23,10,30,7,00,9,0,1,1,1,1,1,1,2,2,1,2,2,1,2,2
44,23,55,30,11,15,8,50,4,4,2,2,1,1,1,1,1,1,3,1,3,3
76,23,30,10,7,10,7,0,1,1,1,1,2,1,1,3,1,1,2,1,2,2
