id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
61.00 ,0.00 ,30.00 ,10.00 ,8.00 ,30.00 ,6.00 ,0.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,5.00 ,5.00 
62.00 ,11.00 ,1.00 ,30.00 ,8.00 ,30.00 ,8.00 ,30.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 
63.00 ,1.00 ,30.00 ,120.00 ,11.00 ,30.00 ,9.00 ,0.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 
64.00 ,11.00 ,40.00 ,40.00 ,7.00 ,40.00 ,7.00 ,2.00 ,3.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,2.00 ,3.00 ,2.00 ,4.00 ,3.00 
65.00 ,2.00 ,50.00 ,10.00 ,12.00 ,30.00 ,7.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 
66.00 ,23.00 ,30.00 ,40.00 ,7.00 ,10.00 ,5.00 ,50.00 ,5.00 ,3.00 ,4.00 ,2.00 ,3.00 ,4.00 ,2.00 ,4.00 ,3.00 ,2.00 ,3.00 ,2.00 ,3.00 ,3.00 
67.00 ,1.00 ,0.00 ,30.00 ,7.00 ,30.00 ,6.00 ,0.00 ,3.00 ,4.00 ,2.00 ,5.00 ,5.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,4.00 ,3.00 ,3.00 
68.00 ,3.00 ,0.00 ,10.00 ,11.00 ,30.00 ,8.00 ,30.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 ,3.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 
69.00 ,3.00 ,0.00 ,40.00 ,12.00 ,0.00 ,8.00 ,0.00 ,5.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 ,4.00 ,2.00 ,4.00 ,5.00 ,2.00 ,5.00 ,5.00 
70.00 ,12.00 ,0.00 ,120.00 ,11.00 ,0.00 ,9.00 ,0.00 ,5.00 ,3.00 ,4.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,5.00 ,4.00 ,4.00 ,2.00 ,5.00 ,5.00 
71.00 ,1.00 ,0.00 ,10.00 ,9.00 ,30.00 ,8.00 ,0.00 ,2.00 ,2.00 ,2.00 ,3.00 ,4.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 
72.00 ,1.00 ,30.00 ,30.00 ,11.00 ,0.00 ,8.00 ,30.00 ,5.00 ,4.00 ,2.00 ,3.00 ,2.00 ,5.00 ,2.00 ,4.00 ,4.00 ,2.00 ,4.00 ,2.00 ,5.00 ,5.00 
73.00 ,11.00 ,30.00 ,10.00 ,7.00 ,15.00 ,7.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,4.00 
74.00 ,11.00 ,30.00 ,30.00 ,7.00 ,30.00 ,6.00 ,30.00 ,3.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,3.00 
75.00 ,22.00 ,0.00 ,5.00 ,8.00 ,30.00 ,9.00 ,59.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
76.00 ,2.00 ,0.00 ,10.00 ,12.00 ,0.00 ,9.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
77.00 ,0.00 ,0.00 ,10.00 ,8.00 ,30.00 ,6.00 ,30.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
78.00 ,4.00 ,0.00 ,60.00 ,11.00 ,50.00 ,7.00 ,30.00 ,5.00 ,2.00 ,2.00 ,5.00 ,5.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,5.00 ,2.00 
79.00 ,12.00 ,0.00 ,10.00 ,13.00 ,0.00 ,9.00 ,0.00 ,3.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 
80.00 ,23.00 ,40.00 ,30.00 ,6.00 ,20.00 ,6.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 
81.00 ,1.00 ,30.00 ,150.00 ,9.00 ,30.00 ,8.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
82.00 ,1.00 ,15.00 ,30.00 ,7.00 ,40.00 ,6.00 ,15.00 ,5.00 ,4.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,3.00 ,3.00 
83.00 ,2.00 ,10.00 ,120.00 ,10.00 ,20.00 ,8.00 ,30.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,4.00 
84.00 ,12.00 ,0.00 ,5.00 ,10.00 ,0.00 ,8.00 ,0.00 ,4.00 ,3.00 ,4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,3.00 ,4.00 ,3.00 ,3.00 ,3.00 ,2.00 ,2.00 
85.00 ,0.00 ,0.00 ,30.00 ,10.00 ,40.00 ,8.00 ,30.00 ,4.00 ,4.00 ,3.00 ,4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,4.00 ,4.00 ,3.00 ,2.00 ,5.00 ,3.00 
86.00 ,11.00 ,0.00 ,10.00 ,8.00 ,0.00 ,8.00 ,0.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 
87.00 ,11.00 ,30.00 ,30.00 ,10.00 ,0.00 ,8.00 ,30.00 ,3.00 ,3.00 ,3.00 ,4.00 ,3.00 ,3.00 ,4.00 ,4.00 ,4.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 
88.00 ,11.00 ,0.00 ,10.00 ,8.00 ,30.00 ,9.00 ,30.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,2.00 ,3.00 ,3.00 
89.00 ,1.00 ,30.00 ,10.00 ,11.00 ,0.00 ,9.00 ,0.00 ,4.00 ,5.00 ,2.00 ,2.00 ,4.00 ,3.00 ,4.00 ,4.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,3.00 
90.00 ,10.00 ,0.00 ,20.00 ,8.00 ,0.00 ,10.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 ,2.00 ,2.00 
91.00 ,12.00 ,0.00 ,15.00 ,7.00 ,0.00 ,6.00 ,45.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,4.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 ,2.00 ,3.00 ,3.00 
92.00 ,12.00 ,0.00 ,30.00 ,10.00 ,10.00 ,8.00 ,0.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 
